topic,topic_name,very negative,negative,neutral,positive,very positive
-1,Air & Dc & Weeks,0,0,0,0,0
-1,Anarchist & Amp & Propaganda,0,0,0,0,0
-1,Canada & Tariffs & Tariff,0,0,0,0,0
-1,Chinese & China & Car,0,0,0,0,0
-1,Doge & Musk & Pentagon,0,0,0,0,0
-1,Education & Schools & School,0,0,0,0,0
-1,Elections & Voter & Truth,0,0,0,0,0
-1,Fascism & Fascist & Class,0,0,0,0,0
-1,Gaza & Israel & Sanctions,0,0,0,0,0
-1,Harris & Kamala & Kamala Harris,0,0,0,0,0
-1,Health & Pandemic & Cuts,0,0,0,0,0
-1,Joe Biden & Joe & President Biden,0,0,0,0,0
-1,Latin & Latin America & Immigration,0,0,0,0,0
-1,Miscellaneous,71,185,248,187,65
-1,Musk & Elon Musk & Elon,0,0,0,0,0
-1,Nuclear & Weapons & Fired,0,0,0,0,0
-1,Peertube & Org & Org Peertube,0,0,0,0,0
-1,Protest & Protests & Rally,0,0,0,0,0
-1,Senate & Nominee & Fbi,0,0,0,0,0
-1,Sex & Women & Transgender,0,0,0,0,0
-1,Tax & Cuts & Spending,0,0,0,0,0
-1,Ukraine & Russia & Putin,0,0,0,0,0
-1,Vote & Senate & Governor,0,0,0,0,0
0,Air & Dc & Weeks,0,0,0,0,0
0,Anarchist & Amp & Propaganda,0,0,0,0,0
0,Canada & Tariffs & Tariff,0,0,0,0,0
0,Chinese & China & Car,0,0,0,0,0
0,Doge & Musk & Pentagon,0,0,0,0,0
0,Education & Schools & School,0,0,0,0,0
0,Elections & Voter & Truth,0,0,0,0,0
0,Fascism & Fascist & Class,0,0,0,0,0
0,Gaza & Israel & Sanctions,0,0,0,0,0
0,Harris & Kamala & Kamala Harris,0,0,0,0,0
0,Health & Pandemic & Cuts,0,0,0,0,0
0,Joe Biden & Joe & President Biden,0,0,0,0,0
0,Latin & Latin America & Immigration,0,0,0,0,0
0,Miscellaneous,0,0,0,0,0
0,Musk & Elon Musk & Elon,0,0,0,0,0
0,Nuclear & Weapons & Fired,0,0,0,0,0
0,Peertube & Org & Org Peertube,0,0,0,0,0
0,Protest & Protests & Rally,0,0,0,0,0
0,Senate & Nominee & Fbi,0,0,0,0,0
0,Sex & Women & Transgender,0,0,0,0,0
0,Tax & Cuts & Spending,82,200,277,174,46
0,Ukraine & Russia & Putin,0,0,0,0,0
0,Vote & Senate & Governor,0,0,0,0,0
1,Air & Dc & Weeks,0,0,0,0,0
1,Anarchist & Amp & Propaganda,28,52,24,63,21
1,Canada & Tariffs & Tariff,0,0,0,0,0
1,Chinese & China & Car,0,0,0,0,0
1,Doge & Musk & Pentagon,0,0,0,0,0
1,Education & Schools & School,0,0,0,0,0
1,Elections & Voter & Truth,0,0,0,0,0
1,Fascism & Fascist & Class,0,0,0,0,0
1,Gaza & Israel & Sanctions,0,0,0,0,0
1,Harris & Kamala & Kamala Harris,0,0,0,0,0
1,Health & Pandemic & Cuts,0,0,0,0,0
1,Joe Biden & Joe & President Biden,0,0,0,0,0
1,Latin & Latin America & Immigration,0,0,0,0,0
1,Miscellaneous,0,0,0,0,0
1,Musk & Elon Musk & Elon,0,0,0,0,0
1,Nuclear & Weapons & Fired,0,0,0,0,0
1,Peertube & Org & Org Peertube,0,0,0,0,0
1,Protest & Protests & Rally,0,0,0,0,0
1,Senate & Nominee & Fbi,0,0,0,0,0
1,Sex & Women & Transgender,0,0,0,0,0
1,Tax & Cuts & Spending,0,0,0,0,0
1,Ukraine & Russia & Putin,0,0,0,0,0
1,Vote & Senate & Governor,0,0,0,0,0
2,Air & Dc & Weeks,0,0,0,0,0
2,Anarchist & Amp & Propaganda,0,0,0,0,0
2,Canada & Tariffs & Tariff,0,0,0,0,0
2,Chinese & China & Car,0,0,0,0,0
2,Doge & Musk & Pentagon,0,0,0,0,0
