topic,topic_name,very negative,negative,neutral,positive,very positive
-1,Air & Dc & Weeks,,,,,
-1,Anarchist & Amp & Propaganda,,,,,
-1,Canada & Tariffs & Tariff,,,,,
-1,Chinese & China & Car,,,,,
-1,Doge & Musk & Pentagon,,,,,
-1,Education & Schools & School,,,,,
-1,Elections & Voter & Truth,,,,,
-1,Fascism & Fascist & Class,,,,,
-1,Gaza & Israel & Sanctions,,,,,
-1,Harris & Kamala & Kamala Harris,,,,,
-1,Health & Pandemic & Cuts,,,,,
-1,Joe Biden & Joe & President Biden,,,,,
-1,Latin & Latin America & Immigration,,,,,
-1,Miscellaneous,9.39153439153439,24.47089947089947,32.804232804232804,24.735449735449734,8.597883597883598
-1,Musk & Elon Musk & Elon,,,,,
-1,Nuclear & Weapons & Fired,,,,,
-1,Peertube & Org & Org Peertube,,,,,
-1,Protest & Protests & Rally,,,,,
-1,Senate & Nominee & Fbi,,,,,
-1,Sex & Women & Transgender,,,,,
-1,Tax & Cuts & Spending,,,,,
-1,Ukraine & Russia & Putin,,,,,
-1,Vote & Senate & Governor,,,,,
0,Air & Dc & Weeks,,,,,
0,Anarchist & Amp & Propaganda,,,,,
0,Canada & Tariffs & Tariff,,,,,
0,Chinese & China & Car,,,,,
0,Doge & Musk & Pentagon,,,,,
0,Education & Schools & School,,,,,
0,Elections & Voter & Truth,,,,,
0,Fascism & Fascist & Class,,,,,
0,Gaza & Israel & Sanctions,,,,,
0,Harris & Kamala & Kamala Harris,,,,,
0,Health & Pandemic & Cuts,,,,,
0,Joe Biden & Joe & President Biden,,,,,
0,Latin & Latin America & Immigration,,,,,
0,Miscellaneous,,,,,
0,Musk & Elon Musk & Elon,,,,,
0,Nuclear & Weapons & Fired,,,,,
0,Peertube & Org & Org Peertube,,,,,
0,Protest & Protests & Rally,,,,,
0,Senate & Nominee & Fbi,,,,,
0,Sex & Women & Transgender,,,,,
0,Tax & Cuts & Spending,10.526315789473683,25.673940949935815,35.5584082156611,22.33632862644416,5.905006418485238
0,Ukraine & Russia & Putin,,,,,
0,Vote & Senate & Governor,,,,,
1,Air & Dc & Weeks,,,,,
1,Anarchist & Amp & Propaganda,14.893617021276595,27.659574468085108,12.76595744680851,33.51063829787234,11.170212765957446
1,Canada & Tariffs & Tariff,,,,,
1,Chinese & China & Car,,,,,
1,Doge & Musk & Pentagon,,,,,
1,Education & Schools & School,,,,,
1,Elections & Voter & Truth,,,,,
1,Fascism & Fascist & Class,,,,,
1,Gaza & Israel & Sanctions,,,,,
1,Harris & Kamala & Kamala Harris,,,,,
1,Health & Pandemic & Cuts,,,,,
1,Joe Biden & Joe & President Biden,,,,,
1,Latin & Latin America & Immigration,,,,,
1,Miscellaneous,,,,,
1,Musk & Elon Musk & Elon,,,,,
1,Nuclear & Weapons & Fired,,,,,
1,Peertube & Org & Org Peertube,,,,,
1,Protest & Protests & Rally,,,,,
1,Senate & Nominee & Fbi,,,,,
1,Sex & Women & Transgender,,,,,
1,Tax & Cuts & Spending,,,,,
1,Ukraine & Russia & Putin,,,,,
1,Vote & Senate & Governor,,,,,
2,Air & Dc & Weeks,,,,,
2,Anarchist & Amp & Propaganda,,,,,
2,Canada & Tariffs & Tariff,,,,,
2,Chinese & China & Car,,,,,
2,Doge & Musk & Pentagon,,,,,
2,Education & Schools & School,,,,,
2,Elections & Voter & Truth,,,,,
2,Fascism & Fascist & Class,,,,,
2,Gaza & Israel & Sanctions,,,,,
2,Harris & Kamala & Kamala Harris,,,,,
2,Health & Pandemic & Cuts,,,,,
2,Joe Biden & Joe & President Biden,,,,,
2,Latin & Latin America & Immigration,,,,,
2,Miscellaneous,,,,,
2,Musk & Elon Musk & Elon,,,,,
2,Nuclear & Weapons & Fired,,,,,
2,Peertube & Org & Org Peertube,,,,,
2,Protest & Protests & Rally,,,,,
2,Senate & Nominee & Fbi,,,,,
2,Sex & Women & Transgender,,,,,
2,Tax & Cuts & Spending,,,,,
2,Ukraine & Russia & Putin,11.888111888111888,25.174825174825177,33.56643356643357,23.776223776223777,5.594405594405594
2,Vote & Senate & Governor,,,,,
3,Air & Dc & Weeks,,,,,
3,Anarchist & Amp & Propaganda,,,,,
3,Canada & Tariffs & Tariff,,,,,
3,Chinese & China & Car,,,,,
3,Doge & Musk & Pentagon,,,,,
3,Education & Schools & School,,,,,
3,Elections & Voter & Truth,,,,,
3,Fascism & Fascist & Class,,,,,
3,Gaza & Israel & Sanctions,,,,,
3,Harris & Kamala & Kamala Harris,,,,,
3,Health & Pandemic & Cuts,,,,,
3,Joe Biden & Joe & President Biden,,,,,
3,Latin & Latin America & Immigration,,,,,
3,Miscellaneous,,,,,
3,Musk & Elon Musk & Elon,,,,,
3,Nuclear & Weapons & Fired,,,,,
3,Peertube & Org & Org Peertube,,,,,
3,Protest & Protests & Rally,,,,,
3,Senate & Nominee & Fbi,,,,,
3,Sex & Women & Transgender,,,,,
3,Tax & Cuts & Spending,,,,,
3,Ukraine & Russia & Putin,,,,,
3,Vote & Senate & Governor,6.106870229007633,25.190839694656486,32.82442748091603,26.717557251908396,9.16030534351145
4,Air & Dc & Weeks,,,,,
4,Anarchist & Amp & Propaganda,,,,,
4,Canada & Tariffs & Tariff,,,,,
4,Chinese & China & Car,,,,,
4,Doge & Musk & Pentagon,,,,,
4,Education & Schools & School,,,,,
4,Elections & Voter & Truth,,,,,
4,Fascism & Fascist & Class,,,,,
4,Gaza & Israel & Sanctions,,,,,
4,Harris & Kamala & Kamala Harris,,,,,
4,Health & Pandemic & Cuts,,,,,
4,Joe Biden & Joe & President Biden,,,,,
4,Latin & Latin America & Immigration,23.200000000000003,36.8,28.000000000000004,9.6,2.4
4,Miscellaneous,,,,,
4,Musk & Elon Musk & Elon,,,,,
4,Nuclear & Weapons & Fired,,,,,
4,Peertube & Org & Org Peertube,,,,,
4,Protest & Protests & Rally,,,,,
4,Senate & Nominee & Fbi,,,,,
4,Sex & Women & Transgender,,,,,
4,Tax & Cuts & Spending,,,,,
4,Ukraine & Russia & Putin,,,,,
4,Vote & Senate & Governor,,,,,
5,Air & Dc & Weeks,,,,,
5,Anarchist & Amp & Propaganda,,,,,
5,Canada & Tariffs & Tariff,,,,,
5,Chinese & China & Car,,,,,
5,Doge & Musk & Pentagon,,,,,
5,Education & Schools & School,,,,,
5,Elections & Voter & Truth,,,,,
5,Fascism & Fascist & Class,,,,,
5,Gaza & Israel & Sanctions,,,,,
5,Harris & Kamala & Kamala Harris,,,,,
5,Health & Pandemic & Cuts,,,,,
5,Joe Biden & Joe & President Biden,,,,,
5,Latin & Latin America & Immigration,,,,,
5,Miscellaneous,,,,,
