topic,count,topic_name
0,779,Tax & Cuts & Spending
-1,756,Miscellaneous
1,188,Anarchist & Amp & Propaganda
2,143,Ukraine & Russia & Putin
3,131,Vote & Senate & Governor
4,125,Latin & Latin America & Immigration
5,108,Peertube & Org & Org Peertube
6,97,Musk & Elon Musk & Elon
7,90,Canada & Tariffs & Tariff
8,65,Gaza & Israel & Sanctions
9,57,Joe Biden & Joe & President Biden
10,53,Sex & Women & Transgender
11,53,Protest & Protests & Rally
12,52,Harris & Kamala & Kamala Harris
13,52,Doge & Musk & Pentagon
14,42,Air & Dc & Weeks
15,41,Health & Pandemic & Cuts
16,35,Elections & Voter & Truth
17,31,Education & Schools & School
18,27,Senate & Nominee & Fbi
19,25,Fascism & Fascist & Class
21,23,Nuclear & Weapons & Fired
20,23,Chinese & China & Car
